Citation,x,y,cluster,keywords,Index,Full Name,ACM Fellow Profile,DBLP profile,Google Scholar Profile,image_url
"for contributions to data integration, sharing, and management for scientific applications",2.1297596,6.356055,5,"query, systems, data, management, database",127,Zachary Ives,https://awards.acm.org/award-recipients/ives_5059670,https://dblp.org/pid/i/ZacharyGIves,https://scholar.google.com/citations?user=2wJaIkEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2wJaIkEAAAAJ
for contributions to communication and security protocols for ad hoc and sensor networks,2.59496,3.6407583,8,"protocols, internet, systems, networks, wireless",128,Zygmunt J. Haas,https://awards.acm.org/award-recipients/haas_4395034,https://dblp.org/pid/h/ZygmuntJHaas,https://scholar.google.com/citations?user=tk8qFe0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=tk8qFe0AAAAJ
for contributions to data privacy and cryptography,2.7754989,5.190819,0,"cryptographic, systems, cryptography, privacy, security",129,Adam Smith,https://awards.acm.org/award-recipients/smith_9268378,https://dblp.org/pid/115/9177,https://scholar.google.com/citations?user=fkGi-JMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=fkGi-JMAAAAJ
for contributions to the field of cryptography,2.0538144,10.020271,0,"cryptographic, systems, cryptography, privacy, security",130,Adi Shamir,https://awards.acm.org/award-recipients/shamir_2327856,https://dblp.org/pid/s/AdiShamir,https://scholar.google.com/citations?user=EHLBP20AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=EHLBP20AAAAJ
for contributions to algorithms and languages for numerical and scientific computing,2.140803,8.326034,2,"combinatorial, computational, theory, complexity, algorithms",131,Alan Edelman,https://awards.acm.org/award-recipients/edelman_6704154,https://dblp.org/pid/79/4166,https://scholar.google.com/citations?user=QVBIKh4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=QVBIKh4AAAAJ
for contributions to storage and computer systems,1.4022633,5.7951894,9,"memory, systems, distributed, parallel, computing",132,Andrea Arpaci-Dusseau,https://awards.acm.org/award-recipients/arpaci-dusseau_4484671,https://dblp.org/pid/a/AndreaCArpaciDusseau,https://scholar.google.com/citations?user=8VkvOEEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8VkvOEEAAAAJ
"for contributions to programming languages: their principles, logic, usability, and trustworthiness",-1.63404,7.4715533,3,"systems, verification, languages, software, programming",133,Andrew D. Gordon,https://awards.acm.org/award-recipients/gordon_N026872,https://dblp.org/pid/g/AndrewDGordon,https://scholar.google.com/citations?user=mfBjUiIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mfBjUiIAAAAJ
for contributions to the understanding of the web and web-based social networks,3.7378862,5.8341985,1,"machine, natural, artificial, intelligence, learning",134,Andrew Tomkins,https://awards.acm.org/award-recipients/tomkins_0483830,https://dblp.org/pid/t/ATomkins,https://scholar.google.com/citations?user=-JOkpfQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-JOkpfQAAAAJ
for contributions to the design of energy-efficient and resilient computer architectures,-1.2642491,4.242423,9,"memory, systems, distributed, parallel, computing",135,Antonio Gonzalez,https://awards.acm.org/award-recipients/gonzalez_4199824,https://dblp.org/pid/52/6690,https://scholar.google.com/citations?user=d5EXd78AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=d5EXd78AAAAJ
for contributions to networks and distributed computer systems,1.0481155,4.3520956,8,"protocols, internet, systems, networks, wireless",136,Arvind Krishnamurthy,https://awards.acm.org/award-recipients/krishnamurthy_8315164,https://dblp.org/pid/k/AKrishnamurthy,https://scholar.google.com/citations?user=EnCwNycAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=EnCwNycAAAAJ
for human-centered and linguistically inspired approaches to natural language processing,5.3438168,6.725632,1,"machine, natural, artificial, intelligence, learning",137,Bonnie J Dorr,https://awards.acm.org/award-recipients/dorr_6824825,https://dblp.org/pid/d/BonnieJDorr,,
"for contributions to network forensics, security, and privacy, and for thwarting crimes against children",2.8625367,4.8744435,0,"cryptographic, systems, cryptography, privacy, security",138,Brian Levine,https://awards.acm.org/award-recipients/levine_UJ71277,https://dblp.org/pid/92/3381,https://scholar.google.com/citations?user=Q5nMrwkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Q5nMrwkAAAAJ
"for contributions to the theory of programming, and its application to the practice of engineering of software",-1.6806936,8.215012,3,"systems, verification, languages, software, programming",139,C. Antony R. Hoare,https://awards.acm.org/award-recipients/hoare_4622167,https://dblp.org/pid/h/CARHoare,https://scholar.google.com/citations?user=v-YdOywAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=v-YdOywAAAAJ
"for design and development of the linux watch and soulpad, which influenced wearable and mobile systems",2.965075,3.9982731,8,"protocols, internet, systems, networks, wireless",140,Chandra Narayanaswami,https://awards.acm.org/award-recipients/narayanaswami_4658217,https://dblp.org/pid/91/3542,,
for contributions to static and dynamic program debugging and verification methods,-2.208015,6.961355,3,"systems, verification, languages, software, programming",141,Cormac Flanagan,https://awards.acm.org/award-recipients/flanagan_1514595,https://dblp.org/pid/f/CormacFlanagan,https://scholar.google.com/citations?user=XkiApd4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XkiApd4AAAAJ
for contributions to software and hardware design for power-efficient computer architectures,-1.4231328,5.124926,9,"memory, systems, distributed, parallel, computing",142,David Brooks,https://awards.acm.org/award-recipients/brooks_5830932,https://dblp.org/pid/30/135,https://scholar.google.com/citations?user=TaiBcxgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=TaiBcxgAAAAJ
"for contributions to networking infrastructure, including data center networking, network operating systems, and cloud networking",1.0895789,4.2625713,8,"protocols, internet, systems, networks, wireless",143,David Maltz,https://awards.acm.org/award-recipients/maltz_N015560,https://dblp.org/pid/65/1459,https://scholar.google.com/citations?user=-YmsnYMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-YmsnYMAAAAJ
"for contributions to adaptive real-time systems, real-time virtualization, and wireless cyber-physical systems",2.3204978,4.230619,8,"protocols, internet, systems, networks, wireless",144,Chenyang Lu,https://awards.acm.org/award-recipients/lu_4942207,https://dblp.org/pid/346/0861,https://scholar.google.com/citations?user=tCq7Wx0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=tCq7Wx0AAAAJ
for contributions to automated algorithm selection and configuration for optimization and machine learning,3.4476507,7.3878493,1,"machine, natural, artificial, intelligence, learning",145,Holger H. Hoos,https://awards.acm.org/award-recipients/hoos_2593420,https://dblp.org/pid/h/HolgerHHoos,https://scholar.google.com/citations?user=l6c85tMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=l6c85tMAAAAJ
"for contributions to bioinformatics, computational biology, knowledge mining and semantic data integration",3.9396334,8.0873575,1,"machine, natural, artificial, intelligence, learning",146,Cathy H Wu,https://awards.acm.org/award-recipients/wu_9696040,https://dblp.org/pid/w/CathyHWu,,
"for contributions to probabilistic state estimation, rgb-d perception, and learning for robotics and computer vision",5.978411,8.753552,6,"rendering, image, graphics, computer, vision",147,Dieter Fox,https://awards.acm.org/award-recipients/fox_2449177,https://dblp.org/pid/f/DieterFox,https://scholar.google.com/citations?user=DqXsbPAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DqXsbPAAAAAJ
for contributions to architectures and design tools for signal processing and networking accelerators,-2.082653,5.0230064,9,"memory, systems, distributed, parallel, computing",148,Keshab K. Parhi,https://awards.acm.org/award-recipients/parhi_7136349,https://dblp.org/pid/p/KeshabKParhi,https://scholar.google.com/citations?user=G8RIjYMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=G8RIjYMAAAAJ
"for contributions to empirical research on agile software development, software security, and software engineering education",-2.1220436,8.496983,3,"systems, verification, languages, software, programming",149,Laurie Ann Williams,https://awards.acm.org/award-recipients/williams_4628996,,,
"for contributions to the design, modeling and benchmarking of computer architectures",-1.2444639,4.8463545,9,"memory, systems, distributed, parallel, computing",150,Lizy Kurian John,https://awards.acm.org/award-recipients/john_3760857,https://dblp.org/pid/j/LizyKurianJohn,https://scholar.google.com/citations?user=YPu9rWUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YPu9rWUAAAAJ
"for contributions to human-computer interaction, information retrieval, computer-supported cooperative work, and accessibility",4.3544683,4.7072425,7,"cooperative, computing, computer, interaction, human",151,Meredith Ringel Morris,https://awards.acm.org/award-recipients/morris_6317538,https://dblp.org/pid/m/MeredithRingelMorris,https://scholar.google.com/citations?user=eJsW6W8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=eJsW6W8AAAAJ
"for contributions to game design, game and virtual reality networking, and body tracking",4.8906226,5.1120753,7,"cooperative, computing, computer, interaction, human",152,Michael J Zyda,https://awards.acm.org/award-recipients/zyda_1609668,https://dblp.org/pid/z/MichaelZyda,,
for contributions to network measurement and analysis,1.0900953,3.2774808,8,"protocols, internet, systems, networks, wireless",153,Nicholas Duffield,https://awards.acm.org/award-recipients/duffield_7506264,https://dblp.org/pid/305/3075,https://scholar.google.com/citations?user=hrQOcZcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hrQOcZcAAAAJ
for research on the vulnerability of social media networks to disinformation and manipulation,3.711821,5.8480606,0,"cryptographic, systems, cryptography, privacy, security",154,Filippo Menczer,https://awards.acm.org/award-recipients/menczer_2889301,https://dblp.org/pid/79/3056,https://scholar.google.com/citations?user=f_kGJwkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=f_kGJwkAAAAJ
"for contributions to the science of programming languages, particularly their operational and denotational semantics",-1.0769802,7.3548703,3,"systems, verification, languages, software, programming",155,Gordon Plotkin,https://awards.acm.org/award-recipients/plotkin_8625851,https://dblp.org/pid/p/GordonDPlotkin,https://scholar.google.com/citations?user=0KiEfGcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0KiEfGcAAAAJ
"for contributions to numerical algorithms, data analytics, and leadership in computational science and engineering",2.2224123,8.332988,2,"combinatorial, computational, theory, complexity, algorithms",156,Haesun Park,https://awards.acm.org/award-recipients/park_9980091,https://dblp.org/pid/263/1018,https://scholar.google.com/citations?user=G6kA1CMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=G6kA1CMAAAAJ
"for contributions to large-scale multimedia content understanding, indexing and retrieval",6.020109,8.153201,1,"machine, natural, artificial, intelligence, learning",157,Heng Tao Shen,https://awards.acm.org/award-recipients/shen_9231878,https://dblp.org/pid/s/HTShen,https://scholar.google.com/citations?user=krryaDkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=krryaDkAAAAJ
"for contributions to information retrieval, including topic detection and tracking",4.87025,6.580661,1,"machine, natural, artificial, intelligence, learning",158,James Allan,https://awards.acm.org/award-recipients/allan_3528049,https://dblp.org/pid/10/4537,https://scholar.google.com/citations?user=FxPzh9kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=FxPzh9kAAAAJ
for contributions to design research in human-computer interaction,4.846873,4.955631,7,"cooperative, computing, computer, interaction, human",159,Jodi Forlizzi,https://awards.acm.org/award-recipients/forlizzi_4613055,https://dblp.org/pid/46/4227,https://scholar.google.com/citations?user=Hyhp_zUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Hyhp_zUAAAAJ
"for contributions in robotics, machine perception, human-computer interaction, and ubiquitous computing",4.120922,5.123213,7,"cooperative, computing, computer, interaction, human",160,John Canny,https://awards.acm.org/award-recipients/canny_4939518,https://dblp.org/pid/c/JohnFCanny,https://scholar.google.com/citations?user=LAv0HTEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=LAv0HTEAAAAJ
for contributions to model checking of software and probabilistic systems,-2.5067205,6.9653955,3,"systems, verification, languages, software, programming",161,Joost-Pieter Katoen,https://awards.acm.org/award-recipients/katoen_4521779,https://dblp.org/pid/k/JoostPieterKatoen,https://scholar.google.com/citations?user=yjjO5_oAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=yjjO5_oAAAAJ
for the development of logical methods for design and verification of computational systems,-2.386677,7.011303,3,"systems, verification, languages, software, programming",162,Jose Meseguer,https://awards.acm.org/award-recipients/meseguer_CR79727,https://dblp.org/pid/155/9510,https://scholar.google.com/citations?user=KZFo7ZkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=KZFo7ZkAAAAJ
for contributions to the development of operating systems theory and for the implementation of the unix operating system,-0.31381232,6.5927916,3,"systems, verification, languages, software, programming",163,Kenneth Lane Thompson,https://awards.acm.org/award-recipients/thompson_4588371,,,
"for contributions to artificial intelligence, including computational game theory, multi-agent systems, machine learning, and optimization",3.140548,7.770847,1,"machine, natural, artificial, intelligence, learning",164,Kevin Leyton-Brown,https://awards.acm.org/award-recipients/leyton-brown_5621412,https://dblp.org/pid/81/1149,https://scholar.google.com/citations?user=_4dnp0IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_4dnp0IAAAAJ
for contributions to wireless system security and cloud data security,2.6930373,3.8705645,0,"cryptographic, systems, cryptography, privacy, security",165,Kui Ren,https://awards.acm.org/award-recipients/ren_9485281,https://dblp.org/pid/67/9424,https://scholar.google.com/citations?user=uuQA_rcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uuQA_rcAAAAJ
for contributions to computer graphics,5.4565144,9.393606,6,"rendering, image, graphics, computer, vision",166,Kun Zhou,https://awards.acm.org/award-recipients/zhou_2169472,https://dblp.org/pid/85/10290,https://scholar.google.com/citations?user=Xk9oMnIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Xk9oMnIAAAAJ
for contributions to network control and optimization with applications in communication networks,1.5638266,3.6039214,8,"protocols, internet, systems, networks, wireless",167,Leandros Tassiulas,https://awards.acm.org/award-recipients/tassiulas_7955612,https://dblp.org/pid/03/3843,https://scholar.google.com/citations?user=9qtgcZ8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9qtgcZ8AAAAJ
for contributions to automated software testing,-2.546336,7.8385434,3,"systems, verification, languages, software, programming",168,Lionel Briand,https://awards.acm.org/award-recipients/briand_4712363,https://dblp.org/pid/93/1501,https://scholar.google.com/citations?user=Zj897NoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Zj897NoAAAAJ
for contributions to socially assistive robotics and human-robot systems,4.290239,5.0169168,7,"cooperative, computing, computer, interaction, human",169,Maja Mataric,https://awards.acm.org/award-recipients/mataric_0572874,https://dblp.org/pid/345/2118,https://scholar.google.com/citations?user=o5YQMkMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=o5YQMkMAAAAJ
for contributions to high-performance parallel and distributed computing and computational science,0.07127003,5.6996107,9,"memory, systems, distributed, parallel, computing",170,Manish Parashar,https://awards.acm.org/award-recipients/parashar_4185880,https://dblp.org/pid/p/ManishParashar,https://scholar.google.com/citations?user=BGNzBsUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=BGNzBsUAAAAJ
for contributions to the foundations of computational complexity theory and its application to cryptography and program checking,1.9428833,9.355673,2,"combinatorial, computational, theory, complexity, algorithms",171,Manuel Blum,https://awards.acm.org/award-recipients/blum_4659082,https://dblp.org/pid/b/ManuelBlum,,
for the invention of asymmetric public-key cryptography and the promulgation of a practical cryptographic key-exchange method,1.786105,9.910275,0,"cryptographic, systems, cryptography, privacy, security",172,Martin Hellman,https://awards.acm.org/award-recipients/hellman_4055781,https://dblp.org/pid/h/MartinEHellman,,
"for contributions to human-computer interaction, including scenario-based design",4.8576355,5.0130267,7,"cooperative, computing, computer, interaction, human",173,Mary Beth Rosson,https://awards.acm.org/award-recipients/rosson_2902369,https://dblp.org/pid/r/MBRosson,https://scholar.google.com/citations?user=1GUWOTEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1GUWOTEAAAAJ
for contributions to geometry processing and discrete differential geometry,4.815724,9.353171,6,"rendering, image, graphics, computer, vision",174,Mathieu Desbrun,https://awards.acm.org/award-recipients/desbrun_UK23204,https://dblp.org/pid/93/1994,https://scholar.google.com/citations?user=a8ZyGisAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=a8ZyGisAAAAJ
"for contributions to face recognition, computer vision, and multimodal interaction",6.1474514,8.5249605,6,"rendering, image, graphics, computer, vision",175,Matthew A Turk,https://awards.acm.org/award-recipients/turk_3946811,https://dblp.org/pid/61/3381,,
"for fundamental, pioneering contributions to the theory of computation, probabilistic algorithms, and cryptography",2.1900349,9.596437,2,"combinatorial, computational, theory, complexity, algorithms",176,Michael O. Rabin,https://awards.acm.org/award-recipients/rabin_9681074,https://dblp.org/pid/r/MORabin,,
for contributions to the foundations of cryptography and theoretical computer science,1.9922724,9.7681465,0,"cryptographic, systems, cryptography, privacy, security",177,Moni Naor,https://awards.acm.org/award-recipients/naor_5261987,https://dblp.org/pid/n/MoniNaor,https://scholar.google.com/citations?user=stSUaHAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=stSUaHAAAAAJ
"for design of efficient algorithmic techniques for big data, hashing, approximation algorithms, and metric embeddings",2.947778,8.267814,2,"combinatorial, computational, theory, complexity, algorithms",178,Moses Charikar,https://awards.acm.org/award-recipients/charikar_0308379,https://dblp.org/pid/c/MosesCharikar,https://scholar.google.com/citations?user=zX3ba1kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=zX3ba1kAAAAJ
for contributions to empirical software engineering and data-driven software development,-2.2567434,8.427359,3,"systems, verification, languages, software, programming",179,Nachiappan Nagappan,https://awards.acm.org/award-recipients/nagappan_0576124,https://dblp.org/pid/91/1758,https://scholar.google.com/citations?user=Nzx_7P8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Nzx_7P8AAAAJ
for contribution to design and modeling of power-efficient computer architectures,-1.375878,4.7162113,9,"memory, systems, distributed, parallel, computing",180,Nam Sung Kim,https://awards.acm.org/award-recipients/kim_7277515,https://dblp.org/pid/13/6350,https://scholar.google.com/citations?user=iccBxJIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=iccBxJIAAAAJ
"for contributions to numerical linear algebra, numerical stability analysis, and communication of mathematics",2.3112214,8.4390745,2,"combinatorial, computational, theory, complexity, algorithms",181,Nicholas Higham,https://awards.acm.org/award-recipients/higham_5202406,https://dblp.org/pid/99/756,https://scholar.google.com/citations?user=EYlMkOgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=EYlMkOgAAAAJ
"for contributions to digital geometry processing, computer animation, computer graphics and visual computing",5.214456,9.181017,6,"rendering, image, graphics, computer, vision",182,Olga Sorkine-Hornung,https://awards.acm.org/award-recipients/sorkine-hornung_4761288,https://dblp.org/pid/s/OlgaSorkine,https://scholar.google.com/citations?user=GBU568oAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GBU568oAAAAJ
for contributions to programming languages through the invention and development of abstract interpretation,-1.306019,7.4866567,3,"systems, verification, languages, software, programming",183,Patrick Cousot,https://awards.acm.org/award-recipients/cousot_4651105,https://dblp.org/pid/c/PCousot,https://scholar.google.com/citations?user=mhlvI8wAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mhlvI8wAAAAJ
"for contributions to recommender systems, economics and computation, and online communities",3.6938796,6.1237354,1,"machine, natural, artificial, intelligence, learning",184,Paul Resnick,https://awards.acm.org/award-recipients/resnick_5173331,https://dblp.org/pid/r/PaulResnick,https://scholar.google.com/citations?user=SftrEEMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SftrEEMAAAAJ
"for contributions to automated planning, learning, and multiagent systems with applications in robotics and ecommerce",3.0514665,7.583786,1,"machine, natural, artificial, intelligence, learning",185,Peter Stone,https://awards.acm.org/award-recipients/stone_3436441,https://dblp.org/pid/s/PeterStone,,
for making continuous state systems amenable to logical and computational treatment,2.1523247,8.662683,2,"combinatorial, computational, theory, complexity, algorithms",186,Prakash Panangaden,https://awards.acm.org/award-recipients/panangaden_2875508,https://dblp.org/pid/p/PPanangaden,https://scholar.google.com/citations?user=IROzEKQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=IROzEKQAAAAJ
for contributions to data summarization and privacy enabling data management and analysis,2.8511941,5.185801,1,"machine, natural, artificial, intelligence, learning",187,Graham R. Cormode,https://awards.acm.org/award-recipients/cormode_0692129,,,
for contributions to data semantics and knowledge-enhanced computing,2.415382,6.685579,5,"query, systems, data, management, database",188,Amit Sheth,https://awards.acm.org/award-recipients/sheth_2299642,https://dblp.org/pid/149/1472-1,https://scholar.google.com/citations?user=2T3H4ekAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2T3H4ekAAAAJ
for energy-efficient design methodologies and circuits that enabled ultralow-power wireless sensors and computing devices,-1.5466958,4.1601243,8,"protocols, internet, systems, networks, wireless",189,Anantha Chandrakasan,https://awards.acm.org/award-recipients/chandrakasan_NA88310,https://dblp.org/pid/c/AnanthaChandrakasan,https://scholar.google.com/citations?user=N6ah30sAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=N6ah30sAAAAJ
for contributions to data cleaning and data integration,2.296133,6.4829993,5,"query, systems, data, management, database",190,Ihab F. Ilyas,https://awards.acm.org/award-recipients/ilyas_5391412,https://dblp.org/pid/i/IhabFIlyas,https://scholar.google.com/citations?user=YG6mTEIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YG6mTEIAAAAJ
"for contributions to design, implementation, and tools of wireless systems",2.6895652,3.532433,8,"protocols, internet, systems, networks, wireless",191,Suman Banerjee,https://awards.acm.org/award-recipients/banerjee_2544948,https://dblp.org/pid/345/5455,https://scholar.google.com/citations?user=cLb-v7gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cLb-v7gAAAAJ
for contributions to algorithmic electronic design automation,-2.2557266,5.124135,3,"systems, verification, languages, software, programming",192,Yao-Wen Chang,https://awards.acm.org/award-recipients/chang_4541314,https://dblp.org/pid/c/YaoWenChang,,
"for contributions to distributed databases, column-store databases, deterministic databases, graph databases, and stream databases",1.5423889,5.901153,5,"query, systems, data, management, database",193,Daniel J Abadi,https://awards.acm.org/award-recipients/abadi_6455095,https://dblp.org/pid/a/DJAbadi,https://scholar.google.com/citations?user=zxeEF2gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=zxeEF2gAAAAJ
"for contributions to the security, privacy, and usability of mobile systems",2.987456,4.560353,0,"cryptographic, systems, cryptography, privacy, security",194,David Kotz,https://awards.acm.org/award-recipients/kotz_3177011,https://dblp.org/pid/k/DavidKotz,https://scholar.google.com/citations?user=s5QkqdcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=s5QkqdcAAAAJ
"for contributions to computational biology, data integration and deep learning applications for genome interpretation",4.139114,8.020064,1,"machine, natural, artificial, intelligence, learning",195,Olga Troyanskaya,https://awards.acm.org/award-recipients/troyanskaya_6455940,https://dblp.org/pid/09/2486,https://scholar.google.com/citations?user=PjCDBjIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=PjCDBjIAAAAJ
"for contributions to collective intelligence,  including self-organizing systems and swarm robotics",3.2383618,7.6507874,1,"machine, natural, artificial, intelligence, learning",196,Radhika Nagpal,https://awards.acm.org/award-recipients/nagpal_4930808,https://dblp.org/pid/84/5637,https://scholar.google.com/citations?user=a3ZGDsoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=a3ZGDsoAAAAJ
for  contributions to cryptography and computer security,2.030018,10.1143675,0,"cryptographic, systems, cryptography, privacy, security",197,Ran Canetti,https://awards.acm.org/award-recipients/canetti_4338863,https://dblp.org/pid/c/RanCanetti,https://scholar.google.com/citations?user=-PWcE1YAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-PWcE1YAAAAJ
"for contributions to web science modeling, analytics, and algorithms",2.5495527,8.039843,1,"machine, natural, artificial, intelligence, learning",198,Ravi Kumar,https://awards.acm.org/award-recipients/kumar_2505048,https://dblp.org/pid/183/6742,https://scholar.google.com/citations?user=J_XhIsgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=J_XhIsgAAAAJ
for contributions to storage and computer systems,1.4236767,5.7664742,9,"memory, systems, distributed, parallel, computing",199,Remzi Arpaci-Dusseau,https://awards.acm.org/award-recipients/arpaci-dusseau_4247391,https://dblp.org/pid/a/RemziHArpaciDusseau,https://scholar.google.com/citations?user=C1skWKgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=C1skWKgAAAAJ
"for contributions in high-performance computing systems, collaborative environments, and tools for large-scale science initiatives",0.18911915,5.6718884,9,"memory, systems, distributed, parallel, computing",200,Rick Stevens,https://awards.acm.org/award-recipients/stevens_4742631,https://dblp.org/pid/s/RickLStevens,https://scholar.google.com/citations?user=2oSSsLYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2oSSsLYAAAAJ
"for contributions to storage system software, including flash and byte-addressable non-volatile memory",-0.27374247,4.5320296,9,"memory, systems, distributed, parallel, computing",201,Sam H. Noh,https://awards.acm.org/award-recipients/noh_4617189,https://dblp.org/pid/81/970,https://scholar.google.com/citations?user=i5lr8uEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i5lr8uEAAAAJ
for contributions to data management and sensor computing systems,2.436379,4.1803975,8,"protocols, internet, systems, networks, wireless",202,Samuel Madden,https://awards.acm.org/award-recipients/madden_2510659,https://dblp.org/pid/m/SamuelMadden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=a1ngrCIAAAAJ
for contributions to distributed systems design,0.96979034,4.4108806,8,"protocols, internet, systems, networks, wireless",203,Sanjay Ghemawat,https://awards.acm.org/award-recipients/ghemawat_1482280,https://dblp.org/pid/g/SGhemawat,https://scholar.google.com/citations?user=0KF6ZC8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0KF6ZC8AAAAJ
"for contributions to formal verification, inductive synthesis, and cyber-physical systems",-2.5632544,7.021058,3,"systems, verification, languages, software, programming",204,Sanjit Arunkumar Seshia,https://awards.acm.org/award-recipients/seshia_UJ14341,,,
"for contributions in compiler code generation for instruction level parallelism, and customized microprocessor architectures",-1.1758362,5.9392147,9,"memory, systems, distributed, parallel, computing",205,Scott Mahlke,https://awards.acm.org/award-recipients/mahlke_4550588,https://dblp.org/pid/m/SAMahlke,https://scholar.google.com/citations?user=-XpZ4fgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-XpZ4fgAAAAJ
for contributions to multimedia technologies and leadership in the scientific community,0.5958599,8.158913,7,"cooperative, computing, computer, interaction, human",206,Sethuraman Panchanathan,https://awards.acm.org/award-recipients/panchanathan_4753208,https://dblp.org/pid/31/6591,https://scholar.google.com/citations?user=GKTKZ8kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GKTKZ8kAAAAJ
for contributions to visual content understanding techniques and applications,6.2369666,8.5533695,6,"rendering, image, graphics, computer, vision",207,Shuicheng Yan,https://awards.acm.org/award-recipients/yan_2615226,https://dblp.org/pid/y/ShuichengYan,https://scholar.google.com/citations?user=DNuiPHwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DNuiPHwAAAAJ
