Citation,x,y,cluster,keywords,Index,Full Name
"for contributions to artificial intelligence, semantic web, and semantic data integration",5.961234,-1.5211197,1,"mining, artificial, natural, intelligence, learning",348,Craig Knoblock
for contributions to combinatorial optimization and to algorithmic computational biology,4.420587,3.4542317,7,"combinatorial, computational, complexity, theory, algorithms",349,Dan Gusfield
"for contributions to machine intelligence, diagnostic imaging, image-guided interventions, and computer vision",10.156988,4.817448,5,"interaction, human, graphics, vision, computer",350,Dorin Comaniciu
for contributions to the theory and practice of systems and network security,0.98925674,-4.060831,6,"secure, systems, cryptography, security, privacy",351,Angelos Dennis Keromytis
"for contributions to high-performance computing, distributed systems, and scientific data management",-4.2711563,0.7684848,2,"networks, parallel, computing, systems, distributed",352,Carl Kesselman
for contributions to virtual machines and cloud computing,-5.298856,-2.2655988,2,"networks, parallel, computing, systems, distributed",353,Steven Michael Hand
"for contributions to image, video and multimedia analysis, understanding, and retrieval",9.764306,3.0822763,5,"interaction, human, graphics, vision, computer",354,Yong Rui
for contributions to the design of efficient algorithms for networking and big data,-4.899522,2.975676,7,"combinatorial, computational, complexity, theory, algorithms",355,Edith Cohen
"for contributions to the design and analysis of wireless networks, improving architectures, throughput, and analytics",-10.888789,-1.0844134,0,"internet, systems, mobile, networks, wireless",356,Li Erran Li
for contributions to virtual machines,-4.868494,-2.3757505,3,"performance, parallel, design, memory, computing",357,Edouard Bugnion
for contributions in information retrieval and digital libraries,9.427819,0.26137608,1,"mining, artificial, natural, intelligence, learning",358,Edward Alan Fox
"for contributions to multi-user wireless lans, wireless networks for underserved regions, and cross-layer wireless networking",-10.788059,-0.84688234,0,"internet, systems, mobile, networks, wireless",359,Edward Knightly
for contributions to die-stacking technologies in computer architecture,-6.7006545,-3.58522,3,"performance, parallel, design, memory, computing",360,Gabriel H Loh
for contributions to recommenders for software engineering and to program comprehension,-0.93274724,-3.6538143,9,"systems, verification, languages, programming, software",361,Gail C Murphy
"for contributions to empirical measurement and analysis in systems, networking and security",-9.13444,-5.257153,0,"internet, systems, mobile, networks, wireless",362,Geoffrey Voelker
for contributions to vision-based robotics and to computer-enhanced interventional medicine,10.106717,4.8726487,5,"interaction, human, graphics, vision, computer",363,Gregory Hager
for theoretical and practical contributions to compositional real-time scheduling and runtime verification,-2.4795907,-8.739708,9,"systems, verification, languages, programming, software",364,Insup Lee
"for contributions to congestion control, operating system support for networks and virtual private networks",-10.044648,-2.7034016,0,"internet, systems, mobile, networks, wireless",365,K. K. Ramakrishnan
for development of new parallel programming techniques and their deployment in high performance computing applications,-4.6723685,0.4397485,3,"performance, parallel, design, memory, computing",366,Laxmikant Kale
"for contributions to sensor networks, mobile personal sensing, and cyber-physical systems",-9.96702,0.47211105,0,"internet, systems, mobile, networks, wireless",367,Mani B. Srivastava
"for contributions to end-user software engineering, understanding gender biases in software, and broadening participation in computing",-0.23980637,-3.8134701,9,"systems, verification, languages, programming, software",368,Margaret Burnett
"for contributions to logic in computer science, database theory, algorithms, and computational complexity",2.347287,3.6678345,7,"combinatorial, computational, complexity, theory, algorithms",369,Martin Grohe
for contributions to the algorithmic aspects of electronic design automation (eda),-7.0613637,3.9042294,9,"systems, verification, languages, programming, software",370,Martin Wong
"for contributions to computer vision and computer graphics, particularly optimization and simulation",9.102983,5.3929396,5,"interaction, human, graphics, vision, computer",371,Michael Kass
"for contributions to computational complexity, particularly randomized computation and circuit complexity",2.4982278,3.154234,7,"combinatorial, computational, complexity, theory, algorithms",372,Michael Sipser
for contributions to performance modeling and analysis of distributed computing systems,-7.168524,-0.4332096,2,"networks, parallel, computing, systems, distributed",373,Mor Harchol-Balter
"for contributions in probabilistic multimodal models of human behavior and uses in intelligent, interactive systems",6.615087,4.2504725,1,"mining, artificial, natural, intelligence, learning",374,Nuria Oliver
"for contributions to machine learning with structured data, and innovations in scientific communication",7.0645037,-1.5088636,1,"mining, artificial, natural, intelligence, learning",375,Andrew K. Mccallum
for contributions to the semantic and logical foundations of compilers and program verification systems,-2.3029704,-7.6599374,9,"systems, verification, languages, programming, software",376,Lars Birkedal
"for contributions to computer architecture research, especially in memory systems",-6.4681597,-4.3756046,3,"performance, parallel, design, memory, computing",377,Onur Mutlu
for contributions to artificial intelligence and data mining,7.988022,-0.09818798,1,"mining, artificial, natural, intelligence, learning",378,Qiang Yang
for contributions to computer graphics rendering and physics-based computer vision,9.405163,5.924589,5,"interaction, human, graphics, vision, computer",379,Ravi Ramamoorthi
for contributions to parallel and distributed discrete event simulation,-3.485716,4.256793,2,"networks, parallel, computing, systems, distributed",380,Richard M Fujimoto
for transformative work that laid the complexity-theoretic foundations for the science of cryptography,1.3069903,2.0943823,4,"service, science, computing, acm, computer",381,Shafi Goldwasser
for contributions to large-scale multimedia content recognition and multimedia information retrieval,9.662387,2.5345957,1,"mining, artificial, natural, intelligence, learning",382,Shih Fu Chang
for transformative work that laid the complexity-theoretic foundations for the science of cryptography,1.3071462,2.0944657,4,"service, science, computing, acm, computer",383,Silvio Micali
for contributions to computer vision and computer graphics,9.289916,5.0748796,5,"interaction, human, graphics, vision, computer",384,Steve Seitz
for co-founding acm sigchi and disseminating exemplary user experience design and evaluation practices worldwide,1.7809741,0.5134573,4,"service, science, computing, acm, computer",385,Susan Dray
"for contributions to foundations of cryptography, including multi-party computations, signatures, and threshold and proactive protocol design",-0.30513355,-1.9919453,6,"secure, systems, cryptography, security, privacy",386,Tal Rabin
"for contributions to robotics, and motion planning, geometric algorithms, and their applications",7.110507,5.15211,5,"interaction, human, graphics, vision, computer",387,Tomas Lozano-Perez
"for contributions to algorithmic coding theory, pseudorandomness, and the complexity of approximate optimization",3.7082734,3.7353344,7,"combinatorial, computational, complexity, theory, algorithms",388,Venkatesan Guruswami
"for contributions to systems and network security, intrusion and anomaly detection and malware analysis",-8.721177,-5.7978578,1,"mining, artificial, natural, intelligence, learning",389,Wenke Lee
for contributions to theory and application of low-dimensional models for computer vision and pattern recognition,9.440647,4.7379537,5,"interaction, human, graphics, vision, computer",390,Yi Ma
for contributions to human-computer interaction and the design of human-centered technology,5.4477153,7.0007467,4,"service, science, computing, acm, computer",391,Yvonne Rogers
for contributions in protocols for network and system security.,-10.616924,-3.7938848,0,"internet, systems, mobile, networks, wireless",392,Adrian Perrig
for contributions to creating information and computing technologies with and for children.,0.99196243,8.239113,4,"service, science, computing, acm, computer",393,Allison Druin
for contributions to branch prediction and cache memory design.,-6.192913,-4.3828535,3,"performance, parallel, design, memory, computing",394,Andre Seznec
for contributions to large-scale distributed computing.,-5.904591,-0.592611,2,"networks, parallel, computing, systems, distributed",395,Anne-Marie Kermarrec
for leadership in high performance computing and escience.,-4.779789,0.49768072,3,"performance, parallel, design, memory, computing",396,Anthony Hey
for applications of machine learning and for increasing participation of women in computer science.,7.010242,2.3681984,1,"mining, artificial, natural, intelligence, learning",397,Carla Brodley
for contributions in computer vision.,9.458944,4.62286,5,"interaction, human, graphics, vision, computer",398,Carlo Tomasi
for contributions to transactional memory and data center architecture.,-5.567719,-4.4979076,3,"performance, parallel, design, memory, computing",399,Christos Kozyrakis
for contributions to cryptography and computer security.,0.78826976,-2.38404,6,"secure, systems, cryptography, security, privacy",400,Dan Boneh
for contributions to software modeling and the creation of the modeling language alloy.,-1.3384337,-6.4711633,9,"systems, verification, languages, programming, software",401,Daniel Jackson
for contributions to distributed computing and graph algorithms.,-6.100406,0.3787956,2,"networks, parallel, computing, systems, distributed",402,David Peleg
"for data management and integration in non-traditional domains including biomedicine, finance, and humanitarian applications.",5.3026643,-2.4932022,8,"systems, management, query, data, database",403,Louiqa Raschid
"for contributions to human-computer interaction, particularly new interaction modes and novel user interface software formalisms.",5.8126783,7.1981926,5,"interaction, human, graphics, vision, computer",404,Robert J.K. Jacob
"for contributions to sustainability sensing, low-power wireless sensing, and mobile health.",-9.350639,0.7439641,0,"internet, systems, mobile, networks, wireless",405,Shwetak N Patel
"for contributions to cloud networking, storage, and data management.",-6.437357,-1.5215235,2,"networks, parallel, computing, systems, distributed",406,Sudipta Sengupta
for contributions to software prefetching and thread-level speculation.,-5.3126473,-4.819375,3,"performance, parallel, design, memory, computing",407,Todd C Mowry
"for contributions to geometric computing, data structures, and graph algorithms.",2.896765,6.461866,7,"combinatorial, computational, complexity, theory, algorithms",408,Erik Demaine
for contributions to computational photography and computer graphics rendering.,9.434581,6.1374955,5,"interaction, human, graphics, vision, computer",409,Fredo Durand
for contributions to static program analysis.,-2.675647,-7.583868,9,"systems, verification, languages, programming, software",410,Ganesan Ramalingam
for contributions to artificial intelligence and the development of the semantic web.,6.015728,-1.3269036,1,"mining, artificial, natural, intelligence, learning",411,James Hendler
"for contributions to human-computer interaction, with a focus on user interface design tools and ubiquitous computing.",5.136342,7.452484,4,"service, science, computing, acm, computer",412,James Landay
for contributions to mobile computing and reliable distributed systems.,-9.550952,-0.45822582,2,"networks, parallel, computing, systems, distributed",413,Jason Flinn
"for contributions to local network technology, internet measurement, and research.",-9.306452,-5.177923,0,"internet, systems, mobile, networks, wireless",414,Joseph Bryan Lyles
for contributions to human-computer interaction and advocacy for empowerment and voice through technology.,4.853713,8.029889,4,"service, science, computing, acm, computer",415,Justine Cassell
for contributions to making program verification accessible and practical.,-2.1443644,-7.931817,9,"systems, verification, languages, programming, software",416,K. Rustan M. Leino
for contributions to the design of low power multi-processor systems.,-8.280248,-0.28765756,3,"performance, parallel, design, memory, computing",417,Luca Benini
"for contributions to the field of artificial intelligence, in particular in planning, learning, multi-agent systems, and robotics.",5.3022118,1.3205682,1,"mining, artificial, natural, intelligence, learning",418,Manuela Veloso
for the design and implementation of column-store and main-memory database systems.,2.9534125,-5.695773,3,"performance, parallel, design, memory, computing",419,Martin Kersten
"for contributions to computational complexity, theory of distributed computing, and design and analysis of algorithms.",1.6998461,3.863456,7,"combinatorial, computational, complexity, theory, algorithms",420,Michael E Saks
for contributions to computing theory and its practical application.,0.51362807,4.389036,7,"combinatorial, computational, complexity, theory, algorithms",421,Monika Henzinger
for data-driven studies of internet security and internet censorship.,1.0680631,-3.8360052,6,"secure, systems, cryptography, security, privacy",422,Nick Feamster
"for contributions in the study of expander graphs, derandomization and streaming algorithms.",4.259873,3.0252838,7,"combinatorial, computational, complexity, theory, algorithms",423,Noga Alon
for contributions to internet measurement and analysis.,-9.242586,-5.301026,0,"internet, systems, mobile, networks, wireless",424,Paul Barford
"for contributions to applied cryptography, authentication and computer security.",0.7693422,-2.2190742,6,"secure, systems, cryptography, security, privacy",425,Paul Van Oorschot
for contributions to human-computer interaction and the design of human-centered technology.,5.4477153,7.0007467,4,"service, science, computing, acm, computer",426,Abigail Sellen
"for work on global illumination, material capture, and display of high-dynamic-range images.",9.676195,6.2563143,5,"interaction, human, graphics, vision, computer",427,Holly E Rushmeier
for contributions to the theory and practice of probabilistic verification.,-1.69264,-8.780573,9,"systems, verification, languages, programming, software",428,Marta Kwiatkowska
for contributions to the theory and practice of internet routing and bridging protocols.,-10.2220125,-3.681771,0,"internet, systems, mobile, networks, wireless",429,Radia Perlman
for contributions in design of embedded systems and hardware-software codesign.,-8.053322,0.26952413,9,"systems, verification, languages, programming, software",430,Rajesh Gupta
for contributions to the field of theoretical computer science.,1.9006417,2.6973953,7,"combinatorial, computational, complexity, theory, algorithms",431,Ravi Kannan
"for contributions to power, energy, and thermal management of servers and datacenters.",-7.6174393,-1.789509,3,"performance, parallel, design, memory, computing",432,Ricardo Bianchini
"for contributions to data science, data intensive computing and data mining.",5.984525,2.8376744,3,"performance, parallel, design, memory, computing",433,Robert L. Grossman
for contributions to the enhancement of performance and reliability in integrated circuits.,-6.9145784,4.219083,3,"performance, parallel, design, memory, computing",434,Sachin S. Sapatnekar
"for contributions to the empirical and theoretical foundations of multimodal systems, and to human-centered computer interfaces.",5.8607936,6.5010433,5,"interaction, human, graphics, vision, computer",435,Sharon Oviatt
"for contributions to verification, programming languages, and software engineering.",-1.7250651,-8.037353,9,"systems, verification, languages, programming, software",436,Somesh Jha
for contributions to memory management in programming languages.,-3.9945745,-6.614493,3,"performance, parallel, design, memory, computing",437,Stephen Blackburn
for contributions to power aware computer architecture.,-6.679498,-3.2272925,3,"performance, parallel, design, memory, computing",438,Trevor Mudge
for leadership in broadening participation in computing.,1.19423,8.322519,4,"service, science, computing, acm, computer",439,Valerie Taylor
for research contributions and professional leadership in networked and mobile computing systems.,-10.0206585,-0.054707695,0,"internet, systems, mobile, networks, wireless",440,Venkata Padmanabhan
"for contributions to low-level computer vision, machine learning, and computer graphics.",9.342601,4.778895,5,"interaction, human, graphics, vision, computer",441,William Freeman
for contributions to spoken language processing.,10.638666,-0.94923097,1,"mining, artificial, natural, intelligence, learning",442,Xuedong Huang
for leadership in advancing the use of artificial intelligence in support of science and for service to the community.,6.520698,-1.5717922,1,"mining, artificial, natural, intelligence, learning",443,Yolanda Gil
for contributions to machine learning and data mining.,8.010103,-0.060545314,1,"mining, artificial, natural, intelligence, learning",444,Zhi-Hua Zhou
"for contributions to the design, implementation, and evaluation of modern database systems.",3.6396804,-3.3496256,8,"systems, management, query, data, database",445,Anastasia Ailamaki
for contributions to cloud computing.,-5.660028,-2.0443342,2,"networks, parallel, computing, systems, distributed",446,Assaf Schuster
for contributions to multiprocessor and memory architecture design and evaluation.,-5.8966994,-4.3380604,3,"performance, parallel, design, memory, computing",447,Babak Falsafi
"for contributions to knowledge discovery and data mining, opinion mining, and sentiment analysis.",8.693203,-0.7115657,1,"mining, artificial, natural, intelligence, learning",448,Bing Liu
for contributions to the theory and practice of machine learning and data mining.,7.8238397,0.6868773,1,"mining, artificial, natural, intelligence, learning",449,Chih-Jen Lin
"for contributions to the science of database privacy, cryptography, and distributed computing.",0.054773845,-2.7356677,6,"secure, systems, cryptography, security, privacy",450,Cynthia Dwork
for contributions to the theory and practice of probabilistic topic modeling and bayesian machine learning.,8.317387,0.67199504,1,"mining, artificial, natural, intelligence, learning",451,David M. Blei
for contributions to low-power computing systems.,-8.482228,-0.012111131,3,"performance, parallel, design, memory, computing",452,Naehyuck Chang
for contributions to content distribution architectures in peer-to-peer networks.,-5.8012605,2.9221678,2,"networks, parallel, computing, systems, distributed",453,Pablo Rodriguez
"for contributions to high-dimensional geometric computing, streaming/sketching algorithms, and the sparse fourier transform.",4.6655197,4.438785,7,"combinatorial, computational, complexity, theory, algorithms",454,Piotr Indyk
"for contributions to the foundation, methodology and applications of data mining.",7.825774,-0.37742624,1,"mining, artificial, natural, intelligence, learning",455,Jian Pei
for contributions to human-computer interaction and leadership in the chi community.,5.606852,7.2173896,4,"service, science, computing, acm, computer",456,Mary P. Czerwinski
for contributions to natural language processing and computational linguistics,10.120939,-0.7725552,1,"mining, artificial, natural, intelligence, learning",457,Dragomir R Radev
for contributions to human-centered computing and to the development of health information technologies.,5.076417,6.404103,4,"service, science, computing, acm, computer",458,Elizabeth D. Mynatt
for contributions to the logical foundations of automatic theorem proving and types for programming languages.,-1.4403229,-7.5776997,9,"systems, verification, languages, programming, software",459,Frank Pfenning
"for contributions to description logics, data management, and verification of data-driven processes",2.6341267,-4.8303194,8,"systems, management, query, data, database",460,Giuseppe De Giacomo
for contributions to the research and development of security informatics and health informatics systems.,-0.2881318,-1.5621417,6,"secure, systems, cryptography, security, privacy",461,Hsinchun Chen
for contributions to the theory and practice of data management systems.,3.9444122,-2.5560029,8,"systems, management, query, data, database",462,Jayant R Haritsa
for contributions to artificial intelligence through the development of a calculus for probabilistic and causal reasoning.,4.2921906,-0.008359312,1,"mining, artificial, natural, intelligence, learning",463,Judea Pearl
for contributions to spoken language processing.,10.638518,-0.9489897,1,"mining, artificial, natural, intelligence, learning",464,Julia Hirschberg
for contributions to delay-tolerant networking.,-9.619553,-0.7970166,0,"internet, systems, mobile, networks, wireless",465,Kevin Fall
"for contributions in power- and thermal-aware modeling, design and benchmarking of microprocessors, including gpus.",-7.663356,-1.8603957,3,"performance, parallel, design, memory, computing",466,Kevin Skadron
for contributions to just-in-time compilation and optimization and to compiler techniques for computer security.,-3.6554875,-6.4228992,9,"systems, verification, languages, programming, software",467,Michael Franz
"for contributions to coding theory, cryptography, parallel algorithms and derandomization.",2.922344,2.3905053,7,"combinatorial, computational, complexity, theory, algorithms",468,Michael George Luby
for contributions to the theory and practice of software reliability engineering.,-2.0420394,-4.192381,9,"systems, verification, languages, programming, software",469,Michael Rung-Tsong Lyu
for contributions to multi-agent systems and the formalization of rational action in multi-agent environments.,5.0234632,1.2629147,1,"mining, artificial, natural, intelligence, learning",470,Michael Wooldridge
for contributions to robotics and leadership in broadening participation in computing.,1.1896431,8.131814,4,"service, science, computing, acm, computer",471,Nancy M Amato
for contributions to research in automated formal verification of hardware and software systems.,-2.4432306,-8.5097275,9,"systems, verification, languages, programming, software",472,Orna Grumberg
for contributions to computer and mobile systems security.,-3.3064437,-3.6188526,6,"secure, systems, cryptography, security, privacy",473,Patrick McDaniel
for contributions in social computing and human-computer interaction.,8.540321,-2.8935955,4,"service, science, computing, acm, computer",474,Paul Dourish
for contributions to computer graphics and geometry processing.,8.028152,6.542852,5,"interaction, human, graphics, vision, computer",475,Peter Schroeder
for contributions to structured data representation and specification and their impact on the web.,5.1681514,-2.419386,8,"systems, management, query, data, database",476,Ramanathan Guha
for contributions to algorithms for convex sets and probability distributions.,4.307335,4.1963277,7,"combinatorial, computational, complexity, theory, algorithms",477,Santosh Vempala
for contributions to the theory and practice of automated analysis and verification of software.,-1.7903725,-8.614964,9,"systems, verification, languages, programming, software",478,Shmuel Sagiv
for contributions to software analysis and defect detection.,-0.16840404,-8.666989,9,"systems, verification, languages, programming, software",479,Sriram Rajamani
"for contributions to mathematical theory, algorithms, and software for large-scale molecular phylogenetics and historical linguistics.",6.2922754,-0.08928958,1,"mining, artificial, natural, intelligence, learning",480,Tandy Warnow
for contributions to performance and reliability enhancement of flash-memory storage systems.,-6.424265,-5.7312636,3,"performance, parallel, design, memory, computing",481,Tei-Wei Kuo
for contributions to cryptography and information security.,0.7768471,-2.3689737,6,"secure, systems, cryptography, security, privacy",482,Ueli M Maurer
for contributions to cryptography and software research.,0.79057354,-2.1681433,6,"secure, systems, cryptography, security, privacy",483,Victor Miller
for contributions to data provenance and to the foundations of information integration.,6.081505,-3.5328102,8,"systems, management, query, data, database",484,Wang-Chiew Tan
"for contributions to safe, high-performance functional programming languages and compilers, and to compiler verification.",-2.4890752,-7.5173936,9,"systems, verification, languages, programming, software",485,Xavier Leroy
for contributions to sensor networks.,-10.091514,0.61441374,0,"internet, systems, mobile, networks, wireless",486,Yunhao Liu
"for contributions to non-photorealistic rendering, multi-resolution representations, and computer graphics.",9.501201,6.2783933,5,"interaction, human, graphics, vision, computer",487,Adam Finkelstein
"for contributions to theoretical computer science in complexity, on-line algorithms, resource tradeoffs, and models of algorithmic paradigms.",2.5939207,3.7060912,7,"combinatorial, computational, complexity, theory, algorithms",488,Allan Borodin
"for contributions to algorithms, probabilistic methods, and networks.",3.5727878,2.508004,7,"combinatorial, computational, complexity, theory, algorithms",489,Aravind Srinivasan
"for contributions to database technology, notably the integrated data store",4.3277254,-4.161573,8,"systems, management, query, data, database",490,Charles W Bachman
for contributions to robotics and sensor networks.,-10.031074,0.78114235,0,"internet, systems, mobile, networks, wireless",491,Daniela Rus
"for contributions to data structures, and the theory of distributed and parallel computing.",-5.5805144,0.92455816,2,"networks, parallel, computing, systems, distributed",492,Faith Ellen
"for contributions to artificial intelligence, and human-computer interaction.",5.8947153,5.8000607,1,"mining, artificial, natural, intelligence, learning",493,Eric Horvitz
"for contributions to computing education, and broadening participation.",1.0940158,8.214378,4,"service, science, computing, acm, computer",494,Mark Guzdial
for contributions to the areas of energy efficiency and server architectures.,-7.6480136,-1.7412388,3,"performance, parallel, design, memory, computing",495,Parthasarathy Ranganathan
"for contributions to computer vision, and medical image computing.",9.867223,4.682931,5,"interaction, human, graphics, vision, computer",496,Eric Grimson
for contributions to the theory of database systems.,4.06836,-2.8856745,8,"systems, management, query, data, database",497,Foto Afrati
for contributions demonstrating that provably correct operating systems are feasible and suitable for real-world use.,-3.9414363,-2.4169238,9,"systems, verification, languages, programming, software",498,Gernot Heiser
"for contributions to the design of protocols, applications, and algorithms for internet multimedia.",-10.726266,-2.5923784,0,"internet, systems, mobile, networks, wireless",499,Henning Schulzrinne
"for contributions to large-scale data analysis, machine learning and computational mathematics.",6.02598,2.9618804,7,"combinatorial, computational, complexity, theory, algorithms",500,Inderjit Dhillon
"for contributions to high-performance database query processing methods, in particular on spatial data.",6.437065,-3.8781018,8,"systems, management, query, data, database",501,Jignesh M Patel
for his contributions to data mining and data stream query processing.,7.001423,-3.1932857,8,"systems, management, query, data, database",502,Johannes Gehrke
for contributions to the theory and practice of distributed and concurrent systems,-4.7346325,-1.034861,2,"networks, parallel, computing, systems, distributed",503,Leslie Lamport
for contributions to  research and education in usable privacy and security.,0.9292265,-3.6845953,6,"secure, systems, cryptography, security, privacy",504,Lorrie Faith Cranor
"for contributions to software analysis, testing, and verification.",-0.85219955,-8.752941,9,"systems, verification, languages, programming, software",505,Michael D Ernst
"for contributions to machine learning, artificial intelligence, and algorithmic game theory and computational social science.",4.7035446,1.8206462,1,"mining, artificial, natural, intelligence, learning",506,Michael Kearns
"for contributions to coding theory, hashing algorithms and data structures, and networking algorithms.",2.5000546,3.9853833,7,"combinatorial, computational, complexity, theory, algorithms",507,Michael Mitzenmacher
"for contributions to domains in logical form, game semantics, categorical quantum mechanics, and contextual semantics.",3.1777554,0.33236676,1,"mining, artificial, natural, intelligence, learning",508,Samson Abramsky
"for contributions to embedded architecture exploration, and service to electronic design automation and embedded systems.",-7.2056317,3.7168117,9,"systems, verification, languages, programming, software",509,Nikil D. Dutt
for contributions to and leadership in the theory and practice of privacy and security.,1.0518525,-3.8425744,6,"secure, systems, cryptography, security, privacy",510,Paul Syverson
for contributions to internet security and privacy.,0.8847209,-3.6007314,6,"secure, systems, cryptography, security, privacy",511,Gene Tsudik
"for contributions to artificial intelligence, automated reasoning, and the formation and evolution of representations.",4.6075563,-0.17190051,1,"mining, artificial, natural, intelligence, learning",512,Alan Bundy
"for contributions to the study of pseudorandomness, derandomization, and cryptography.",2.495568,1.6207879,6,"secure, systems, cryptography, security, privacy",513,Omer Reingold
"for contributions to artificial intelligence, including multi-agent systems, human-agent interaction and non-monotonic reasoning.",5.1122146,1.3717409,1,"mining, artificial, natural, intelligence, learning",514,Sarit Kraus
for contributions to electronic design automation.,-7.0423183,3.9419463,9,"systems, verification, languages, programming, software",515,Alberto Luigi Sangiovanni Vincentelli
"for contributions to provenance management research and technology, and computational reproducibility.",6.147628,-3.6145868,8,"systems, management, query, data, database",516,Juliana Freire
for contributions to knowledge discovery and data mining.,8.13176,-0.34144676,1,"mining, artificial, natural, intelligence, learning",517,Ramakrishnan Srikant
"for contributions to computer networking, distributed systems, and operating systems.",-8.691208,-2.2819142,2,"networks, parallel, computing, systems, distributed",518,Robert Morris
"for contributions to delegated computation, sublinear time algorithms and property testing.",3.450371,3.8526094,7,"combinatorial, computational, complexity, theory, algorithms",519,Ronitt Rubinfeld
"for contributions to database education, query processing, query optimization and keyword queries.",6.4744964,-4.000289,8,"systems, management, query, data, database",520,S. Sudarshan
"for contribution to data modeling, database design, and database education.",2.8649683,-2.1353557,8,"systems, management, query, data, database",521,Shamkant Navathe
"for contributions to efficient and capable sat solvers, and accurate embedded software models.",-2.8413172,-8.638604,9,"systems, verification, languages, programming, software",522,Sharad Malik
for contributions to secure and energy-efficient hardware.,-6.630226,-2.2800891,6,"secure, systems, cryptography, security, privacy",523,Srinivas Devadas
for contributions to human-computer interaction.,5.6968384,7.153326,5,"interaction, human, graphics, vision, computer",524,Stephen J Whittaker
"for contributions to natural-language processing, and to open-access systems and policy.",10.053237,-0.8267512,1,"mining, artificial, natural, intelligence, learning",525,Stuart Shieber
for contributions to the design and testing of robust computing systems.,-3.8884828,-3.2210574,3,"performance, parallel, design, memory, computing",526,Subhasish Mitra
for contributions to the theory and practice of machine learning and information retrieval.,8.628805,0.7381532,1,"mining, artificial, natural, intelligence, learning",527,Thorsten Joachims
for contributions to sparse matrix algorithms and software.,5.680272,3.4041674,7,"combinatorial, computational, complexity, theory, algorithms",528,Timothy Alden Davis
"for contributions to ubiquitous computing, and computer supported cooperative work.",4.892756,8.069328,2,"networks, parallel, computing, systems, distributed",529,Tom Rodden
for developing the llvm compiler and for contributions to parallel computing and software security.,-3.9319015,-5.828807,3,"performance, parallel, design, memory, computing",530,Vikram Adve
"for contributions to randomized algorithms, especially dynamic graph algorithms and fault tolerant distributed computing.",-5.2029486,-1.4107457,2,"networks, parallel, computing, systems, distributed",531,Valerie King
for contributions to power estimation and optimization in the design of power-aware systems.,-8.54364,-0.016718443,0,"internet, systems, mobile, networks, wireless",532,Vijaykrishnan Narayanan
"for contributions to machine learning, algorithmic game theory, distributed computing, and communication networks.",4.2571115,1.9512367,2,"networks, parallel, computing, systems, distributed",533,Yishay Mansour
for contributions to languages and systems that use information flow for implementing secure computing systems.,-1.8752753,-6.437891,9,"systems, verification, languages, programming, software",534,Andrew Myers
"for contributions in software engineering and multiagent systems, and for computer science leadership in brazil.",4.8952928,1.2643931,9,"systems, verification, languages, programming, software",535,Carlos J P De Lucena
for contributions to knowledge discovery and data mining algorithms.,8.063539,-0.31801844,1,"mining, artificial, natural, intelligence, learning",536,Charu Chandra Aggarwal
"for scientific contributions enabling quantum communications, advanced tactical networks, and programming literacy.",2.466825,0.54026586,0,"internet, systems, mobile, networks, wireless",537,Chip Elliott
"for contributions to research on human interaction with information systems, data practices, and information policy.",1.4825681,-3.6088512,6,"secure, systems, cryptography, security, privacy",538,Christine L Borgman
for contributions to natural language processing research and education.,10.045256,-0.8636913,1,"mining, artificial, natural, intelligence, learning",539,Christopher Manning
for contributions to automated search and planning.,9.480917,0.36490276,1,"mining, artificial, natural, intelligence, learning",540,Dana Nau
for contributions to computer vision.,9.459122,4.622719,5,"interaction, human, graphics, vision, computer",541,David Forsyth
for contributions to the development of software architecture as a discipline in softwareengineering.,-1.7131343,-3.2824543,9,"systems, verification, languages, programming, software",542,David Garlan
"for contributions to computer graphics, user interface software, and visual analytics.",7.442559,4.6746693,5,"interaction, human, graphics, vision, computer",543,David J Kasik
for contributions to the design and analysis of approximation algorithms.,3.9722443,4.3862004,7,"combinatorial, computational, complexity, theory, algorithms",544,David Williamson
"for contributions to randomness extraction, pseudorandomness, and their role in complexity theory.",2.877749,2.2755327,7,"combinatorial, computational, complexity, theory, algorithms",545,David Zuckerman
for technical and literary contributions over a broad range of data management topics.,3.9725566,-2.4558508,8,"systems, management, query, data, database",546,Dennis E Shasha
"for contributions in cross-layer wireless networking, wireless network coding, and internet congestion control.",-10.6895485,-1.400036,0,"internet, systems, mobile, networks, wireless",547,Dina Katabi
"for contributions to software, particularly in support of concurrency.",-5.153407,0.5516553,2,"networks, parallel, computing, systems, distributed",548,Douglas Lea
for contributions to industrial leadership and to information retrieval and web search.,9.3777275,0.4141912,1,"mining, artificial, natural, intelligence, learning",549,Yoelle Maarek
for contributions to communication and computation in intermittingly-connected networks.,-6.8982286,0.27299777,2,"networks, parallel, computing, systems, distributed",550,Ellen Zegura
for contributions to mathematically-based methods for ensuring the efficient implementation and verification of practical programming languages.,-1.9436336,-8.244243,9,"systems, verification, languages, programming, software",551,Greg Morrisett
for contributions to artificial intelligence and pervasive computing with applications to assistive technology and health.,5.689831,5.1212516,1,"mining, artificial, natural, intelligence, learning",552,Henry A Kautz
"for java, news, emacs, netbeans, and other contributions to programming languages, tools, and environments.",-0.95938295,-5.367403,9,"systems, verification, languages, programming, software",553,James Gosling
for contributions to the implementation and analysis of multiprocessor and multicore real-time systems.,-3.8302743,-1.0415567,3,"performance, parallel, design, memory, computing",554,James H Anderson
